Año,Distrito,Género,Rango_etario,Frecuencia,Ord_rango_etario
2024,Norte-Tartagal,Mujeres,50-59 años,38,6
2024,Norte-Tartagal,Mujeres,60-74 años,15,7
2024,Norte-Tartagal,Mujeres,Más de 74 años,16,8
2024,Norte-Tartagal,Mujeres,Sin especificar,879,9
2024,Norte-Tartagal,Varones,0-17 años,19,1
2024,Norte-Tartagal,Varones,18-21 años,118,2
2024,Norte-Tartagal,Varones,22-29 años,409,3
2024,Norte-Tartagal,Varones,30-39 años,505,4
2024,Norte-Tartagal,Varones,40-49 años,287,5
2024,Norte-Tartagal,Varones,50-59 años,132,6
2024,Norte-Tartagal,Varones,60-74 años,51,7
2024,Norte-Tartagal,Varones,Más de 74 años,32,8
2024,Norte-Tartagal,Varones,Sin especificar,1611,9
2024,Sur-Anta,Mujeres,0-17 años,0,1
2024,Sur-Anta,Mujeres,18-21 años,3,2
2024,Sur-Anta,Mujeres,22-29 años,42,3
2024,Sur-Anta,Mujeres,30-39 años,59,4
2024,Sur-Anta,Mujeres,40-49 años,31,5
2024,Sur-Anta,Mujeres,50-59 años,15,6
2024,Sur-Anta,Mujeres,60-74 años,8,7
2024,Sur-Anta,Mujeres,Más de 74 años,2,8
2024,Sur-Anta,Mujeres,Sin especificar,230,9
2024,Sur-Anta,Varones,0-17 años,10,1
2024,Sur-Anta,Varones,18-21 años,17,2
2024,Sur-Anta,Varones,22-29 años,137,3
2024,Sur-Anta,Varones,30-39 años,124,4
2024,Sur-Anta,Varones,40-49 años,61,5
2024,Sur-Anta,Varones,50-59 años,25,6
2024,Sur-Anta,Varones,60-74 años,18,7
2024,Sur-Anta,Varones,Más de 74 años,6,8
2024,Sur-Anta,Varones,Sin especificar,564,9
2024,Sur-Metán,Mujeres,0-17 años,16,1
2024,Sur-Metán,Mujeres,18-21 años,22,2
2024,Sur-Metán,Mujeres,22-29 años,100,3
2024,Sur-Metán,Mujeres,30-39 años,78,4
2024,Sur-Metán,Mujeres,40-49 años,63,5
2024,Sur-Metán,Mujeres,50-59 años,26,6
2024,Sur-Metán,Mujeres,60-74 años,11,7
2024,Sur-Metán,Mujeres,Más de 74 años,15,8
2024,Sur-Metán,Mujeres,Sin especificar,414,9
2024,Sur-Metán,Varones,0-17 años,12,1
2024,Sur-Metán,Varones,18-21 años,44,2
2024,Sur-Metán,Varones,22-29 años,175,3
2024,Sur-Metán,Varones,30-39 años,215,4
2024,Sur-Metán,Varones,40-49 años,127,5
2024,Sur-Metán,Varones,50-59 años,44,6
2024,Sur-Metán,Varones,60-74 años,33,7
2024,Sur-Metán,Varones,Más de 74 años,53,8
2024,Sur-Metán,Varones,Sin especificar,757,9
